id;name;sex;age;social_class;siblings;parents_alive;annual_income;housenumber;browser_used;city;fraud
1;Allen, Miss. Elisabeth Walton;female;29.0;1;0;0;2113375.0;228;Chrome;St Louis, MO;No
2;Allison, Master. Hudson Trevor;male;0.9167;1;1;2;1515500.0;25;Chrome;Montreal, PQ / Chesterville, ON;No
3;Allison, Miss. Helen Loraine;female;2.0;1;1;2;1515500.0;102;Chrome;Montreal, PQ / Chesterville, ON;Yes
4;Allison, Mr. Hudson Joshua Creighton;male;30.0;1;1;2;1515500.0;112;Chrome;Montreal, PQ / Chesterville, ON;Yes
5;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);female;25.0;1;1;2;1515500.0;232;Chrome;Montreal, PQ / Chesterville, ON;Yes
6;Anderson, Mr. Harry;male;48.0;1;0;0;265500.0;223;Chrome;New York, NY;No
7;Andrews, Miss. Kornelia Theodosia;female;63.0;1;1;0;779583.0;1;Chrome;Hudson, NY;No
8;Andrews, Mr. Thomas Jr;male;39.0;1;0;0;0.0;194;Chrome;Belfast, NI;Yes
9;Appleton, Mrs. Edward Dale (Charlotte Lamson);female;53.0;1;2;0;514792.0;150;Chrome;Bayside, Queens, NY;No
10;Artagaveytia, Mr. Ramon;male;71.0;1;0;0;495042.0;162;Internet Explorer;Montevideo, Uruguay;Yes
11;Astor, Col. John Jacob;male;47.0;1;1;0;2275250.0;143;Internet Explorer;New York, NY;Yes
12;Astor, Mrs. John Jacob (Madeleine Talmadge Force);female;18.0;1;1;0;2275250.0;250;Internet Explorer;New York, NY;No
13;Aubart, Mme. Leontine Pauline;female;24.0;1;0;0;693000.0;183;Internet Explorer;Paris, France;No
14;"Barber, Miss. Ellen ""Nellie""";female;26.0;1;0;0;788500.0;24;Chrome;;No
15;Barkworth, Mr. Algernon Henry Wilson;male;80.0;1;0;0;300000.0;74;Chrome;Hessle, Yorks;No
16;Baumann, Mr. John D;male;;1;0;0;259250.0;87;Chrome;New York, NY;Yes
17;Baxter, Mr. Quigg Edmond;male;24.0;1;0;1;2475208.0;26;Internet Explorer;Montreal, PQ;Yes
18;Baxter, Mrs. James (Helene DeLaudeniere Chaput);female;50.0;1;0;1;2475208.0;86;Internet Explorer;Montreal, PQ;No
19;Bazzani, Miss. Albina;female;32.0;1;0;0;762917.0;75;Internet Explorer;;No
20;Beattie, Mr. Thomson;male;36.0;1;0;0;752417.0;245;Internet Explorer;Winnipeg, MN;Yes
21;Beckwith, Mr. Richard Leonard;male;37.0;1;1;1;525542.0;115;Chrome;New York, NY;No
22;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);female;47.0;1;1;1;525542.0;80;Chrome;New York, NY;No
23;Behr, Mr. Karl Howell;male;26.0;1;0;0;300000.0;96;Internet Explorer;New York, NY;No
24;Bidois, Miss. Rosalie;female;42.0;1;0;0;2275250.0;137;Internet Explorer;;No
25;Bird, Miss. Ellen;female;29.0;1;0;0;2217792.0;224;Chrome;;No
26;Birnbaum, Mr. Jakob;male;25.0;1;0;0;260000.0;89;Internet Explorer;San Francisco, CA;Yes
27;Bishop, Mr. Dickinson H;male;25.0;1;1;0;910792.0;176;Internet Explorer;Dowagiac, MI;No
28;Bishop, Mrs. Dickinson H (Helen Walton);female;19.0;1;1;0;910792.0;28;Internet Explorer;Dowagiac, MI;No
29;Bissette, Miss. Amelia;female;35.0;1;0;0;1356333.0;106;Chrome;;No
30;Bjornstrom-Steffansson, Mr. Mauritz Hakan;male;28.0;1;0;0;265500.0;240;Chrome;Stockholm, Sweden / Washington, DC;No
31;Blackwell, Mr. Stephen Weart;male;45.0;1;0;0;355000.0;35;Chrome;Trenton, NJ;Yes
32;Blank, Mr. Henry;male;40.0;1;0;0;310000.0;123;Internet Explorer;Glen Ridge, NJ;No
33;Bonnell, Miss. Caroline;female;30.0;1;0;0;1648667.0;19;Chrome;Youngstown, OH;No
34;Bonnell, Miss. Elizabeth;female;58.0;1;0;0;265500.0;225;Chrome;Birkdale, England Cleveland, Ohio;No
35;Borebank, Mr. John James;male;42.0;1;0;0;265500.0;252;Chrome;London / Winnipeg, MB;Yes
36;Bowen, Miss. Grace Scott;female;45.0;1;0;0;2623750.0;39;Internet Explorer;Cooperstown, NY;No
37;Bowerman, Miss. Elsie Edith;female;22.0;1;0;1;550000.0;206;Chrome;St Leonards-on-Sea, England Ohio;No
38;"Bradley, Mr. George (""George Arthur Brayton"")";male;;1;0;0;265500.0;41;Chrome;Los Angeles, CA;No
39;Brady, Mr. John Bertram;male;41.0;1;0;0;305000.0;100;Chrome;Pomeroy, WA;Yes
40;Brandeis, Mr. Emil;male;48.0;1;0;0;504958.0;57;Internet Explorer;Omaha, NE;Yes
41;Brewe, Dr. Arthur Jackson;male;;1;0;0;396000.0;28;Internet Explorer;Philadelphia, PA;Yes
42;Brown, Mrs. James Joseph (Margaret Tobin);female;44.0;1;0;0;277208.0;49;Internet Explorer;Denver, CO;No
43;Brown, Mrs. John Murray (Caroline Lane Lamson);female;59.0;1;2;0;514792.0;10;Chrome;Belmont, MA;No
44;Bucknell, Mrs. William Robert (Emma Eliza Ward);female;60.0;1;0;0;762917.0;168;Internet Explorer;Philadelphia, PA;No
45;Burns, Miss. Elizabeth Margaret;female;41.0;1;0;0;1345000.0;135;Internet Explorer;;No
46;Butt, Major. Archibald Willingham;male;45.0;1;0;0;265500.0;76;Chrome;Washington, DC;Yes
47;Cairns, Mr. Alexander;male;;1;0;0;310000.0;211;Chrome;;Yes
48;Calderhead, Mr. Edward Pennington;male;42.0;1;0;0;262875.0;106;Chrome;New York, NY;No
49;Candee, Mrs. Edward (Helen Churchill Hungerford);female;53.0;1;0;0;274458.0;68;Internet Explorer;Washington, DC;No
50;Cardeza, Mr. Thomas Drake Martinez;male;36.0;1;0;1;5123292.0;88;Internet Explorer;Austria-Hungary / Germantown, Philadelphia, PA;No
51;Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);female;58.0;1;0;1;5123292.0;76;Internet Explorer;Germantown, Philadelphia, PA;No
52;Carlsson, Mr. Frans Olof;male;33.0;1;0;0;50000.0;182;Chrome;New York, NY;Yes
53;Carrau, Mr. Francisco M;male;28.0;1;0;0;471000.0;39;Chrome;Montevideo, Uruguay;Yes
54;Carrau, Mr. Jose Pedro;male;17.0;1;0;0;471000.0;203;Chrome;Montevideo, Uruguay;Yes
55;Carter, Master. William Thornton II;male;11.0;1;1;2;1200000.0;18;Chrome;Bryn Mawr, PA;No
56;Carter, Miss. Lucile Polk;female;14.0;1;1;2;1200000.0;237;Chrome;Bryn Mawr, PA;No
57;Carter, Mr. William Ernest;male;36.0;1;1;2;1200000.0;201;Chrome;Bryn Mawr, PA;No
58;Carter, Mrs. William Ernest (Lucile Polk);female;36.0;1;1;2;1200000.0;105;Chrome;Bryn Mawr, PA;No
59;Case, Mr. Howard Brown;male;49.0;1;0;0;260000.0;30;Chrome;Ascot, Berkshire / Rochester, NY;Yes
60;Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick);female;;1;0;0;277208.0;220;Internet Explorer;New York, NY;No
61;Cavendish, Mr. Tyrell William;male;36.0;1;1;0;788500.0;79;Chrome;Little Onn Hall, Staffs;Yes
62;Cavendish, Mrs. Tyrell William (Julia Florence Siegel);female;76.0;1;1;0;788500.0;96;Chrome;Little Onn Hall, Staffs;No
63;Chaffee, Mr. Herbert Fuller;male;46.0;1;1;0;611750.0;131;Chrome;Amenia, ND;Yes
64;Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood);female;47.0;1;1;0;611750.0;149;Chrome;Amenia, ND;No
65;Chambers, Mr. Norman Campbell;male;27.0;1;1;0;531000.0;116;Chrome;New York, NY / Ithaca, NY;No
66;Chambers, Mrs. Norman Campbell (Bertha Griggs);female;33.0;1;1;0;531000.0;94;Chrome;New York, NY / Ithaca, NY;No
67;Chaudanson, Miss. Victorine;female;36.0;1;0;0;2623750.0;16;Internet Explorer;;No
68;Cherry, Miss. Gladys;female;30.0;1;0;0;865000.0;25;Chrome;London, England;No
69;Chevre, Mr. Paul Romaine;male;45.0;1;0;0;297000.0;106;Internet Explorer;Paris, France;No
70;Chibnall, Mrs. (Edith Martha Bowerman);female;;1;0;1;550000.0;239;Chrome;St Leonards-on-Sea, England Ohio;No
71;Chisholm, Mr. Roderick Robert Crispin;male;;1;0;0;0.0;250;Chrome;Liverpool, England / Belfast;Yes
72;Clark, Mr. Walter Miller;male;27.0;1;1;0;1367792.0;234;Internet Explorer;Los Angeles, CA;Yes
73;Clark, Mrs. Walter Miller (Virginia McDowell);female;26.0;1;1;0;1367792.0;105;Internet Explorer;Los Angeles, CA;No
74;Cleaver, Miss. Alice;female;22.0;1;0;0;1515500.0;41;Chrome;;No
75;Clifford, Mr. George Quincy;male;;1;0;0;520000.0;250;Chrome;Stoughton, MA;Yes
76;Colley, Mr. Edward Pomeroy;male;47.0;1;0;0;255875.0;210;Chrome;Victoria, BC;Yes
77;Compton, Miss. Sara Rebecca;female;39.0;1;1;1;831583.0;233;Internet Explorer;Lakewood, NJ;No
